city,bedrooms,bathrooms,square_feet,year_built,price
Columbus,3,1,4788,1933,528270.56
Houston,2,1,3481,2023,545770.99
Chicago,1,1,1903,1968,334196.21
Phoenix,5,3,4542,2023,876675.04
Denver,3,2,4636,2001,1042463.55
Phoenix,4,1,2099,1980,423752.39
Seattle,6,2,4942,1987,1432573.55
Chicago,4,1,3172,1945,594773.5
Fort Worth,5,1,4988,2010,774780.28
Columbus,6,3,2986,1946,420146.96
Denver,3,1,525,1942,196175.35
Austin,3,2,2378,1950,672407.11
Columbus,1,1,2250,2011,268839.78
San Antonio,4,2,2237,1991,384224.23
Austin,5,1,3060,2003,932622.88
Chicago,5,1,1545,1921,368001.5
Fort Worth,5,1,660,1927,182953.7
Seattle,5,2,1533,1939,608392.22
Miami,4,2,3805,1988,1033672.67
Dallas,3,1,2753,1948,446607.22
Chicago,4,2,3693,2009,714194.07
New York,6,1,858,1980,716959.09
San Jose,5,2,4833,1943,1842811.0
Jacksonville,4,2,4178,1965,581279.11
Jacksonville,3,1,2935,1930,388834.47
Los Angeles,1,1,2535,2007,819575.48
Indianapolis,6,1,781,2009,248347.64
Jacksonville,3,2,4419,1948,540159.95
Columbus,2,1,632,1978,129308.63
Los Angeles,4,2,3123,1995,1130927.76
Charlotte,2,1,1792,2015,358602.93
Fort Worth,2,1,4694,1965,642809.48
Fort Worth,5,2,3204,1959,550266.22
Dallas,4,2,2360,1957,467274.01
Phoenix,1,1,1078,2002,219663.57
Phoenix,5,4,2227,1923,452212.82
Houston,1,1,1321,2009,246386.75
Philadelphia,1,1,2525,1980,403354.74
Fort Worth,3,2,2406,1979,411863.96
San Diego,3,2,4799,2006,1345220.8
Seattle,5,1,1634,1974,668285.87
Columbus,2,1,617,1922,83532.8
Jacksonville,5,2,561,1962,206998.57
Phoenix,3,1,2949,2018,533348.58
Philadelphia,3,2,4534,2018,758610.16
Houston,2,1,3785,2008,551168.96
Houston,1,1,522,1972,110042.43
San Francisco,6,3,3639,2000,1799258.8
Indianapolis,5,4,2649,1920,386788.28
Denver,3,1,4989,1948,1052228.79
San Jose,5,2,4272,2017,1795614.22
Denver,4,1,1810,2015,569165.91
Fort Worth,4,3,3899,1920,600094.81
Phoenix,4,3,3947,1943,677390.7
New York,5,1,4573,2011,1789756.34
Columbus,3,1,508,2011,158022.34
Dallas,5,4,2807,1951,560726.76
Seattle,5,1,2763,1938,844719.95
Phoenix,4,1,3921,1971,659005.04
Dallas,3,1,1533,1999,318459.88
San Jose,3,2,3084,1946,1207309.36
Jacksonville,1,1,4693,1937,530256.79
Charlotte,2,1,1144,1928,202572.5
Houston,5,4,3735,1944,621639.42
San Francisco,6,3,1329,1948,1004340.85
Austin,2,1,2459,1966,643508.11
Houston,2,1,4410,2013,622529.62
Chicago,4,1,3536,1956,673946.22
Houston,4,1,4094,2007,647813.7
San Francisco,3,2,4223,2007,1753050.35
Los Angeles,5,3,4721,1989,1711337.52
San Antonio,5,4,2284,1994,451052.61
San Diego,6,5,2937,1931,1007636.71
Austin,5,3,1493,1958,653268.86
San Diego,2,1,2896,1962,753974.89
Fort Worth,3,1,2109,1983,378160.78
San Antonio,4,2,1969,1981,333530.29
Columbus,4,2,565,1949,146131.94
Dallas,5,4,1038,1979,368001.34
Dallas,5,4,3994,1978,729043.45
Denver,5,2,2645,1960,726017.39
Jacksonville,3,1,4113,2016,545704.25
San Francisco,1,1,1777,1934,643753.77
Indianapolis,6,1,2501,1941,361587.75
Miami,4,1,3813,1950,938999.68
San Jose,4,1,3115,1945,1264686.71
Miami,1,1,4001,1922,818756.72
Miami,6,5,4717,1936,1314355.21
Seattle,3,2,3942,1983,1085697.21
San Francisco,6,4,1273,2020,1151167.37
Houston,2,1,2851,1935,399167.81
Dallas,4,1,4611,1927,687244.74
San Diego,6,1,3071,2008,1114505.6
Chicago,4,3,3189,1990,640168.57
Austin,5,1,4012,1985,1143493.22
San Antonio,2,1,910,1952,155478.83
Chicago,4,3,2890,1982,612683.15
Austin,5,4,2708,1942,878904.48
San Diego,4,3,3046,1996,996889.64
San Diego,5,4,562,1947,465244.99
Fort Worth,2,1,1308,1989,234139.85
Indianapolis,4,3,2211,1999,358176.46
Philadelphia,1,1,869,1952,145053.62
San Antonio,3,1,3576,1942,435749.77
Indianapolis,6,1,2384,1967,372661.52
Phoenix,5,4,868,1937,299262.78
San Diego,4,2,2710,1934,825309.45
San Francisco,1,1,2129,2022,924453.79
Los Angeles,6,2,1447,1923,742474.1
Austin,5,2,2285,1920,702712.91
Denver,2,1,687,1931,184046.98
Seattle,6,1,2279,2006,879193.73
Charlotte,1,1,2129,1931,291360.11
Dallas,3,1,1007,1938,210040.57
Charlotte,1,1,2068,1946,296099.92
New York,5,2,1295,1927,713679.05
New York,3,2,1082,1964,583447.23
Dallas,4,3,508,1936,211939.08
San Jose,3,2,4366,1955,1554931.38
Phoenix,1,1,4119,1934,564423.65
Miami,1,1,4178,1999,928695.29
Dallas,1,1,2140,1933,291362.42
Dallas,4,2,1025,1955,282372.42
Phoenix,3,2,2560,1941,446002.54
Fort Worth,3,2,3558,1997,556297.55
San Diego,1,1,3651,1964,950445.39
Philadelphia,2,1,4801,2008,739975.65
Denver,4,1,3634,1996,888450.54
Charlotte,2,1,4474,1958,652425.58
Houston,2,1,4313,1956,570115.79
Jacksonville,2,1,4827,2003,616492.36
Dallas,4,3,2056,1983,463531.89
Houston,3,1,2759,2013,439284.68
Austin,3,1,1967,2023,684136.84
Phoenix,1,1,3677,1945,496515.36
Dallas,1,1,3004,1993,470475.53
Columbus,6,4,2711,1952,425029.65
Los Angeles,1,1,4083,1974,1208514.39
San Diego,6,2,3290,1945,1062094.84
Charlotte,6,2,3257,2016,656156.24
Jacksonville,3,2,4558,1996,586384.34
Indianapolis,6,3,2159,2007,385265.22
Philadelphia,3,2,688,1994,239521.11
Dallas,5,3,4147,2006,789756.12
San Antonio,5,2,4901,1961,673297.93
Phoenix,2,1,2767,1989,457738.88
Dallas,5,2,2302,1967,460644.57
Charlotte,2,1,4897,1971,701290.04
San Jose,4,3,2696,1978,1212769.49
San Francisco,5,2,4976,1980,2145847.89
New York,1,1,4733,1982,1585469.09
Chicago,3,2,1666,2001,386812.47
Jacksonville,1,1,661,2007,137763.88
Austin,3,1,1557,2013,597698.8
New York,2,1,3920,2009,1455561.09
San Diego,6,4,4998,1933,1508777.19
New York,4,1,3440,1930,1211647.9
Jacksonville,3,2,3488,1999,480670.8
Columbus,4,1,1500,1953,242011.52
Charlotte,4,2,4367,1925,704087.73
New York,4,1,4028,2002,1525210.0
Chicago,2,1,2813,1965,463760.01
San Diego,1,1,3641,1953,879314.53
Chicago,2,1,1693,2015,370721.39
Seattle,1,1,3554,1941,896018.42
Columbus,1,1,3128,2019,384209.5
Philadelphia,5,4,2961,2005,655527.77
Indianapolis,6,2,3726,1979,495319.25
Dallas,6,3,4333,2010,859899.38
Miami,5,3,1398,2009,608294.72
Philadelphia,6,2,668,1967,293630.9
Chicago,1,1,548,1985,143408.94
Dallas,2,1,4921,1936,707275.13
San Antonio,1,1,4844,1982,592601.02
Jacksonville,2,1,1959,2010,303231.36
Phoenix,2,1,2229,2019,411302.78
Fort Worth,4,1,3943,1965,575335.96
Chicago,5,3,4251,1954,784225.01
San Diego,4,1,3056,1985,915399.33
Chicago,2,1,1624,1987,327161.42
Jacksonville,1,1,3545,1984,446954.96
Phoenix,2,1,605,1955,142106.33
Dallas,6,3,671,2024,370029.2
San Francisco,4,3,4588,1959,1930762.52
Columbus,1,1,3424,1929,328703.29
Chicago,2,1,2468,1937,391627.15
Denver,3,2,2528,2007,695677.18
Miami,6,2,4697,1933,1187543.67
San Francisco,2,1,2049,1929,765514.55
Los Angeles,5,2,2063,1938,832675.95
San Antonio,2,1,4800,1923,566861.73
Los Angeles,1,1,3077,1987,925076.68
Philadelphia,2,1,2661,1952,435035.55
Chicago,3,2,2786,1990,574563.48
Miami,4,2,1763,1957,581265.4
Houston,5,3,4533,1971,712539.47
Miami,3,2,3020,1958,779469.86
Chicago,4,3,1915,1993,472990.36
Jacksonville,5,4,4631,2023,685392.9
Seattle,5,3,1945,1922,713734.39
Columbus,4,1,541,2007,165062.72
San Francisco,3,1,4687,2018,1983542.7
Fort Worth,4,3,1281,1947,282296.27
Houston,6,1,806,1956,251178.25
Seattle,3,2,3938,1991,1154702.47
Seattle,3,1,3225,1939,831333.49
San Jose,1,1,1412,2014,649523.65
Fort Worth,6,1,2138,1968,436429.17
Austin,5,2,1027,1964,488434.54
Los Angeles,5,3,3335,2000,1387965.32
Los Angeles,6,1,4459,1958,1476156.24
Charlotte,5,4,1236,2006,405747.93
Fort Worth,1,1,4985,1927,602280.63
Indianapolis,4,2,3559,1960,453297.45
Jacksonville,6,4,4483,1973,659837.02
Fort Worth,5,4,2948,1999,590938.91
Indianapolis,3,2,1903,1944,246839.77
Fort Worth,5,3,3955,1928,618746.36
San Antonio,3,1,4850,2003,640255.76
Jacksonville,3,1,2545,2002,372250.36
San Francisco,1,1,1722,1975,688236.83
Fort Worth,5,1,3596,1920,514529.07
Fort Worth,5,3,2196,2013,454147.98
Phoenix,2,1,1705,2010,324043.23
Los Angeles,1,1,2813,1959,793679.89
Indianapolis,2,1,4377,1951,443456.5
Philadelphia,2,1,4344,1970,657368.82
Fort Worth,2,1,3967,1965,542527.11
San Antonio,4,3,3958,2017,570147.04
Phoenix,2,1,4029,1923,562707.17
San Jose,1,1,1567,1952,583616.29
Los Angeles,5,4,3645,1972,1380035.41
Philadelphia,4,1,1047,1994,290281.34
San Diego,4,2,3355,1953,966105.29
Indianapolis,2,1,3624,1974,399567.62
Philadelphia,6,1,1313,1977,357888.73
Chicago,5,2,1032,1984,367605.27
Austin,4,3,610,1960,372590.28
San Francisco,2,1,3867,1962,1515811.47
San Francisco,3,2,1863,2000,1015647.17
Denver,4,3,1202,1985,483941.97
Austin,4,2,3448,1945,943451.96
Indianapolis,1,1,2077,1940,224703.3
Fort Worth,3,2,1175,1946,239260.0
Philadelphia,6,5,4377,2012,840719.78
Jacksonville,5,4,4521,1934,640579.11
Austin,3,2,1539,2010,563819.64
New York,6,2,4909,2012,1930587.54
Denver,1,1,2967,1997,605767.63
Los Angeles,3,2,4086,1985,1409744.39
Seattle,2,1,3862,1987,1043597.45
Indianapolis,1,1,4070,2015,437456.27
San Jose,3,1,4492,1993,1752540.7
Chicago,3,2,4002,1971,722283.4
Miami,3,1,4619,1957,1119984.38
San Diego,2,1,3916,1945,1033375.15
New York,5,2,4499,1949,1657916.94
Phoenix,1,1,4155,1981,626220.49
Denver,3,2,4100,1993,892647.3
Phoenix,4,2,3133,1934,547425.17
Philadelphia,3,2,2153,1924,353601.95
Dallas,2,1,1860,2023,369206.5
Austin,2,1,4136,1928,934767.95
San Antonio,3,2,2220,2002,360299.84
Fort Worth,2,1,2178,1927,300197.52
New York,3,2,3413,1932,1184155.8
New York,5,3,1342,2019,975613.75
Dallas,4,3,4479,2024,807677.98
Columbus,4,2,1149,1962,206594.48
New York,1,1,4382,1933,1298990.41
Seattle,4,2,736,2013,504295.22
Charlotte,3,2,4983,1998,790934.78
Indianapolis,1,1,2991,1950,311754.53
Fort Worth,2,1,3926,1938,526289.8
San Jose,6,5,1238,1935,908638.57
Seattle,2,1,2215,2020,741612.17
San Jose,4,3,1257,1962,765705.42
San Jose,1,1,4854,1941,1556925.38
Houston,1,1,2367,2006,363689.79
San Jose,4,2,2520,1933,1065475.31
San Antonio,2,1,4368,2020,588389.51
San Francisco,4,3,4154,2020,1907869.38
Denver,2,1,2887,1921,596782.78
Seattle,2,1,2138,1943,559955.17
Austin,2,1,1384,1966,433769.03
Indianapolis,4,1,3903,1996,484165.53
San Diego,1,1,3746,2016,1006728.88
Houston,2,1,1481,1927,214190.21
Austin,2,1,899,1974,343715.39
Los Angeles,2,1,4977,1921,1359634.12
San Francisco,2,1,2634,1964,1021615.82
Seattle,6,2,2147,2000,856476.57
San Francisco,4,2,3142,2009,1550894.25
Indianapolis,4,1,2882,1932,356093.85
San Francisco,2,1,3398,2005,1445212.0
Miami,6,2,3843,1930,1035135.79
Indianapolis,2,1,2655,1991,314535.66
San Francisco,6,2,2525,1947,1353171.69
San Diego,1,1,2084,2001,629042.9
Denver,2,1,2357,1954,497716.45
Seattle,4,2,3027,1988,938857.66
Chicago,5,2,4589,1924,770762.78
Denver,4,3,2589,1999,715305.86
Charlotte,5,3,1910,2002,453070.21
Charlotte,1,1,2707,1992,408912.66
Los Angeles,3,2,4518,1973,1490553.56
Indianapolis,3,1,966,1923,134634.01
Houston,3,2,2901,1963,469364.16
Denver,4,1,3435,1983,820171.91
Miami,4,3,2294,1941,674227.42
Seattle,1,1,1034,2000,377150.72
San Jose,2,1,2518,1940,948351.42
New York,1,1,1920,1937,630758.19
Los Angeles,2,1,1357,2004,602174.55
Philadelphia,2,1,3937,1920,549714.35
Jacksonville,1,1,2716,1995,367380.03
Miami,1,1,2235,2018,579240.29
Columbus,4,3,754,1987,204593.04
Houston,1,1,3376,1996,458305.73
San Jose,5,1,4165,1948,1663586.37
Denver,1,1,2675,1938,494416.55
Columbus,6,5,4194,1983,609319.63
New York,4,2,1523,2010,846005.04
Fort Worth,4,2,1936,1960,352204.32
Fort Worth,3,2,4612,1937,651143.91
Philadelphia,5,1,1773,1962,407084.64
Seattle,4,1,532,2005,404163.32
Seattle,6,5,2650,2004,1141406.68
San Jose,6,5,2486,1922,1287602.05
Columbus,2,1,4331,1958,467721.12
San Francisco,6,2,1950,1996,1292916.04
San Francisco,4,3,2620,2016,1385439.89
New York,4,2,584,1961,510546.88
New York,4,3,4854,1920,1761290.61
Denver,3,1,2156,1984,559570.03
Denver,6,3,2105,1969,663625.1
Seattle,4,1,4678,1969,1318235.14
Fort Worth,3,2,2086,1932,340674.93
San Antonio,1,1,1460,2023,240320.55
San Diego,4,2,3140,1936,919353.88
Fort Worth,6,4,1950,2017,492443.02
Jacksonville,4,2,2846,1940,412399.24
Indianapolis,5,1,1637,2016,291633.27
Indianapolis,5,3,4196,1983,555907.86
New York,2,1,791,1955,381477.27
Phoenix,3,2,618,1971,204400.89
New York,5,4,3770,1974,1649659.66
San Antonio,6,1,669,1953,214049.4
Philadelphia,2,1,1619,2024,330791.1
Miami,3,2,4978,2016,1289621.72
Indianapolis,6,5,3642,1987,536744.9
Philadelphia,4,1,3394,1927,549934.08
Miami,2,1,4825,2010,1147828.01
San Jose,1,1,1436,1978,574879.56
Los Angeles,6,3,1338,1990,823756.24
San Diego,3,1,4315,2022,1294787.0
San Jose,5,1,4149,1955,1627287.83
Fort Worth,6,3,1413,2007,398355.93
Denver,3,2,804,1964,314370.1
Dallas,5,4,1515,2018,462134.28
Chicago,5,2,1200,1953,336069.15
San Diego,6,2,1030,1920,527906.99
San Francisco,2,1,4333,1942,1525166.44
Seattle,6,1,3529,2016,1209198.29
Philadelphia,6,1,2014,1929,417016.4
Los Angeles,4,1,4591,1967,1431644.04
Phoenix,2,1,3059,1934,430314.08
Fort Worth,6,4,694,1929,259706.52
Chicago,4,1,1735,1953,365292.03
Dallas,4,3,2173,1925,409453.86
Charlotte,5,2,1980,1927,387195.62
Seattle,5,1,4865,1933,1285730.11
San Diego,5,3,4498,1965,1400293.07
Phoenix,4,1,848,1920,201601.6
Indianapolis,2,1,2775,2008,357287.68
Indianapolis,5,3,4095,1987,522641.35
Phoenix,1,1,3070,2021,493493.25
Los Angeles,6,2,1870,1966,910522.49
Austin,4,1,1888,1932,594304.64
Dallas,3,2,2156,1965,418163.1
Indianapolis,2,1,1677,1957,217927.24
San Antonio,6,4,4384,1954,676897.35
Dallas,6,5,1957,1925,455533.73
San Jose,3,1,538,2017,509658.02
Jacksonville,2,1,4331,1942,489519.32
Columbus,2,1,2369,1972,297836.53
San Francisco,1,1,2904,1992,1126745.24
Chicago,6,5,2625,1969,656482.14
Philadelphia,1,1,2916,2004,470129.28
Indianapolis,1,1,1618,1956,185792.72
Dallas,3,1,3132,2015,581126.42
Phoenix,1,1,3906,1965,543573.45
Seattle,3,2,2299,1964,691704.26
San Francisco,6,5,4187,2007,2210103.64
New York,5,4,3972,2014,1838044.78
Seattle,1,1,1574,1926,368705.44
Chicago,2,1,3909,1958,623856.88
San Diego,3,2,2064,1949,676279.67
Columbus,5,4,744,1945,199507.0
Houston,6,1,1399,1977,339841.39
San Diego,3,2,1323,2019,592752.0
Indianapolis,6,1,1189,1958,234109.36
Seattle,5,3,1349,1933,574227.59
Denver,5,4,3306,1953,855202.37
Houston,2,1,4816,1982,641257.23
Charlotte,5,1,1238,1943,290078.35
Indianapolis,2,1,3865,1988,428499.08
Seattle,4,1,3954,1949,1092810.92
Indianapolis,2,1,3070,1954,349695.17
San Jose,3,2,2985,1954,1231421.57
San Diego,3,2,571,1935,289864.08
Austin,3,1,1346,2003,532875.41
Seattle,4,3,3546,1986,1069885.22
Los Angeles,4,2,3787,1980,1361447.18
Fort Worth,6,1,3514,1953,606973.74
Indianapolis,5,4,698,2001,242933.12
San Antonio,2,1,2723,2007,398038.44
Fort Worth,2,1,1371,2011,267639.97
San Diego,3,1,2451,1989,774580.51
Philadelphia,2,1,2534,1936,396239.91
Chicago,6,2,1525,1930,418707.76
Seattle,1,1,1117,2016,429654.05
Dallas,4,3,1467,1947,342903.03
Dallas,6,5,1234,1995,454387.27
Austin,5,1,2461,1927,725935.84
Columbus,5,1,2153,1921,306932.7
Dallas,2,1,1742,1981,334046.9
San Francisco,1,1,2784,1980,1134660.59
Miami,6,4,3117,1987,1056697.05
New York,4,2,4287,1922,1542649.69
Philadelphia,5,4,4843,1969,854268.46
Charlotte,2,1,930,1965,188774.47
San Francisco,5,2,1964,1977,1091117.25
Indianapolis,3,1,2258,2007,308163.57
Fort Worth,2,1,3571,1927,465352.57
San Diego,3,1,3314,2018,971829.18
Denver,5,4,2887,2024,875128.48
Dallas,5,1,1738,2004,424780.17
San Jose,3,2,4660,1975,1764337.94
Dallas,1,1,518,2006,152241.8
Austin,2,1,4907,2020,1302813.78
Jacksonville,6,5,1370,1947,337978.16
Seattle,4,2,1761,2016,735293.91
Denver,5,2,3068,2002,868777.81
Indianapolis,3,1,1279,1928,179384.68
Austin,2,1,3012,1951,757285.76
Phoenix,4,2,3249,2021,624243.65
Houston,6,1,1792,1922,352162.94
Jacksonville,5,1,4283,2006,643425.04
Phoenix,3,2,1723,1987,382496.8
San Diego,3,2,2159,2003,767335.39
Fort Worth,6,3,2851,1998,541773.65
San Francisco,6,2,2821,1931,1336912.76
Fort Worth,4,3,1961,2007,421318.85
Charlotte,2,1,3209,1983,511684.08
Miami,3,2,2569,1970,691952.1
Fort Worth,2,1,1987,2022,356846.56
New York,4,2,1699,1922,752922.2
Philadelphia,1,1,4360,2016,638489.43
Columbus,2,1,1664,1956,205026.66
San Diego,3,2,4373,1964,1192726.74
Denver,5,2,2588,1996,776003.03
Philadelphia,3,1,3095,1950,518583.41
Dallas,5,3,4014,1975,715545.36
Dallas,6,5,643,1931,290696.73
San Francisco,4,1,1879,1947,934451.25
San Antonio,2,1,3765,1946,443941.03
Phoenix,2,1,1577,1984,294462.94
San Antonio,1,1,2011,1986,267257.63
Denver,4,3,895,2004,420458.0
Chicago,3,1,3838,1942,625607.1
Dallas,2,1,2144,1980,381282.3
San Jose,4,1,3344,1926,1229900.84
Charlotte,6,4,4212,1989,812725.45
San Francisco,4,2,2809,1935,1279608.02
Houston,5,4,558,1931,229846.08
Dallas,6,2,3573,1996,707514.6
Philadelphia,6,4,1834,2001,519913.84
Jacksonville,1,1,3847,1936,436269.67
Los Angeles,5,1,1230,1950,621706.62
Chicago,4,3,4603,1965,865498.64
Miami,6,1,2046,1994,731636.69
Charlotte,1,1,843,1933,134087.92
San Francisco,4,1,3614,1941,1514154.52
Chicago,4,1,3270,2024,650118.64
Seattle,4,1,4866,1987,1346464.65
Fort Worth,2,1,2301,1954,327913.98
Charlotte,2,1,1196,1981,239145.07
Miami,4,2,4198,1934,1013581.04
Charlotte,3,1,3798,1972,633387.55
San Antonio,1,1,3783,1982,465574.28
Denver,4,1,4130,2019,976539.43
Dallas,5,3,3088,1973,609995.54
Houston,4,2,3765,1924,550599.59
Los Angeles,1,1,1926,2010,707871.65
San Diego,6,4,2788,1951,1010581.19
San Francisco,2,1,4939,1969,1776515.69
Dallas,6,1,4355,2003,777641.3
Phoenix,6,4,2272,1943,538785.89
Chicago,4,1,4958,1971,824245.81
San Antonio,1,1,3311,2006,439354.96
San Diego,1,1,3004,1952,739454.78
Los Angeles,4,2,620,1963,460639.67
Columbus,5,1,2764,2009,416084.67
Los Angeles,5,4,2983,2011,1325569.87
New York,3,2,3920,2010,1552881.69
Austin,3,2,4603,1922,1108826.56
Austin,3,1,4445,1951,1080155.5
Los Angeles,5,3,732,1976,614273.26
San Antonio,4,3,1038,1925,221228.91
San Francisco,2,1,4992,1932,1820607.86
Austin,4,1,3793,2004,1127945.6
Charlotte,6,3,3109,1992,631184.76
Houston,5,1,4928,1929,706308.53
Dallas,1,1,3914,1950,567101.86
San Diego,5,3,1038,1986,607566.48
New York,3,2,2702,1955,1107109.06
Phoenix,1,1,4554,1928,639531.67
Los Angeles,2,1,565,2016,399936.32
Chicago,6,5,2793,1959,675774.49
Miami,2,1,2844,1933,632264.49
San Diego,4,3,4649,2013,1474968.66
Miami,5,2,2458,1927,717864.28
Phoenix,5,2,1005,1987,313589.22
Chicago,2,1,2780,1954,448766.45
Jacksonville,1,1,3369,2018,448048.34
Fort Worth,2,1,1078,1975,210009.76
Philadelphia,6,4,3698,1950,704320.31
Columbus,4,1,700,1977,175474.31
Seattle,5,4,4703,1996,1540723.15
San Diego,6,2,1474,1933,659142.42
San Diego,4,3,2551,2016,911791.33
San Antonio,4,3,4577,1968,654139.03
San Francisco,1,1,2497,1987,1056120.2
Houston,1,1,3334,1957,444754.43
Los Angeles,5,2,2325,1948,952392.36
Philadelphia,3,2,1201,1941,263019.51
Houston,2,1,934,1980,197448.83
Denver,6,3,1424,2003,592040.74
Charlotte,5,4,2488,1962,530978.8
San Antonio,2,1,4820,1993,578117.66
Denver,1,1,4272,1926,774447.42
Chicago,4,3,2505,2003,600070.23
Denver,4,1,4839,1923,959036.7
Denver,3,1,1167,1968,365025.58
Dallas,2,1,2698,1976,450723.68
Seattle,4,2,4398,1967,1313507.99
San Antonio,5,2,4008,1985,561859.14
San Jose,6,4,3123,1922,1500313.33
Columbus,2,1,812,1922,106104.57
San Jose,1,1,1307,1975,534996.58
Houston,6,2,4306,1972,690090.37
Los Angeles,3,1,4597,1953,1399514.39
Jacksonville,5,4,4484,1946,621928.4
Philadelphia,1,1,1840,1940,259043.78
Columbus,6,4,1066,1995,302592.94
Phoenix,2,1,2717,1931,398880.34
Columbus,2,1,3606,1941,390188.15
Jacksonville,1,1,2672,2018,349177.56
San Diego,1,1,960,2024,382429.23
Phoenix,1,1,3843,2004,611004.44
San Antonio,5,2,2220,1934,377168.7
Seattle,1,1,1533,1983,466208.48
Seattle,5,4,3329,1944,1116316.61
Columbus,1,1,2087,2013,253073.87
San Jose,4,3,4007,1935,1519118.04
Philadelphia,4,1,858,1936,210813.29
Seattle,6,3,3413,1936,1156610.64
Chicago,4,3,988,1944,293935.08
Jacksonville,6,5,2986,1922,475975.65
Fort Worth,4,3,2185,2014,443201.58
Austin,4,3,776,1930,364668.41
San Jose,4,3,4448,1974,1845083.32
San Jose,6,2,1750,1978,1031630.46
Jacksonville,1,1,4222,2008,527384.78
San Francisco,1,1,3286,1950,1153431.75
San Francisco,6,3,3575,1925,1689257.89
Miami,2,1,1836,1995,525449.43
Denver,1,1,3625,1953,699495.84
Jacksonville,4,1,1124,1923,200752.21
Charlotte,3,1,3108,1935,506612.98
Phoenix,6,4,1211,1928,355451.35
Seattle,3,1,1935,1961,616836.49
Jacksonville,6,5,3931,1950,642201.1
Seattle,1,1,1463,1967,422276.99
Fort Worth,3,2,4625,2003,685879.2
Chicago,3,2,3901,2004,758424.59
Columbus,6,4,1740,1941,332050.52
New York,4,3,3946,1982,1575510.26
San Francisco,3,2,1317,1989,809919.46
Fort Worth,3,2,937,1946,213251.84
San Francisco,2,1,2409,1964,1018075.35
New York,5,4,1693,1967,936889.11
Seattle,4,1,2102,2017,807305.29
New York,4,3,2683,1980,1224256.59
Chicago,5,3,4817,1964,899841.93
Austin,5,1,2854,2013,979042.42
Columbus,1,1,902,1990,138443.61
Denver,2,1,613,1935,180841.73
Jacksonville,5,1,1207,1983,258546.37
Dallas,6,1,1554,1950,371861.72
San Francisco,4,3,644,1922,551814.19
Dallas,4,3,3081,1948,534055.09
Miami,1,1,3957,1940,871425.88
San Antonio,1,1,3684,2014,452726.34
San Antonio,2,1,3730,1968,483718.14
Indianapolis,6,5,1959,1998,403734.12
Fort Worth,5,2,3506,2010,604943.91
Charlotte,2,1,4299,2020,661755.0
Columbus,2,1,859,1937,114901.43
San Diego,6,5,520,1964,548412.97
San Diego,6,2,3781,2017,1230448.69
San Antonio,3,1,3451,1963,439911.72
Indianapolis,3,2,1689,1982,246495.3
Philadelphia,3,2,1956,1930,361424.52
Chicago,3,1,4086,1953,689263.38
Chicago,1,1,509,1941,101368.56
San Antonio,6,4,1423,1980,368454.68
Houston,1,1,718,1983,147181.01
Austin,4,1,3319,1941,905813.11
San Antonio,3,2,2190,2000,350956.16
Phoenix,6,1,2737,1936,525094.82
Seattle,5,4,1438,1960,703529.97
San Francisco,3,2,3512,1921,1352173.14
San Antonio,6,2,2007,1986,383907.72
Indianapolis,3,2,4519,1979,510977.32
Austin,4,1,3423,1983,980966.95
Seattle,3,2,1009,1947,415039.18
Austin,5,4,3630,1939,1108897.51
Columbus,1,1,3991,1935,392653.32
Los Angeles,2,1,3878,1951,1136398.09
Seattle,4,1,809,1927,336564.65
Columbus,5,4,4194,1979,570498.88
San Antonio,6,4,1703,2007,385788.96
Austin,6,2,4402,1966,1235422.6
San Antonio,3,2,1428,1956,254276.93
San Francisco,3,2,1411,1990,864020.91
Houston,2,1,4735,1994,649976.08
Miami,6,5,523,1933,439700.1
Philadelphia,6,1,3496,1959,635400.66
Seattle,2,1,573,2019,352903.99
Dallas,6,1,1957,1927,389188.83
Dallas,3,1,3554,2007,626102.34
Phoenix,4,3,4429,1928,687171.12
Dallas,6,3,1407,1982,410488.85
San Antonio,3,2,3108,2018,482240.43
Jacksonville,2,1,2285,1964,322369.04
Houston,2,1,1542,1924,225762.95
Indianapolis,3,2,1353,2014,235478.53
Los Angeles,5,2,3444,1992,1283058.18
Columbus,6,3,2539,2016,433125.66
Seattle,4,2,2586,1932,824830.19
Fort Worth,1,1,3819,1993,503217.75
San Francisco,2,1,765,1973,454086.02
San Antonio,2,1,3053,1937,371335.71
Los Angeles,6,5,3022,1920,1225482.78
Dallas,3,1,3792,1964,626252.74
Denver,4,3,1562,1959,520179.37
Chicago,3,1,3638,1996,653639.77
San Jose,6,1,4324,2016,1942405.67
Seattle,6,5,505,2001,599612.31
San Francisco,1,1,4100,1934,1472678.83
San Antonio,5,3,4012,1970,570988.54
Jacksonville,1,1,1259,2006,208782.43
Columbus,3,2,627,2011,178346.33
San Antonio,2,1,2671,1988,358010.19
New York,4,1,1232,2003,713937.01
San Antonio,1,1,1259,2007,199770.18
Seattle,4,1,3184,1958,928054.63
Denver,1,1,2619,1981,566402.54
San Francisco,6,2,2606,2005,1485356.54
Austin,4,3,4758,1996,1321394.64
San Diego,6,3,2540,2013,1023216.43
Dallas,2,1,511,1955,131264.35
Chicago,3,2,1827,1979,419965.2
San Jose,3,1,4362,1984,1590256.63
San Jose,1,1,900,1928,301673.74
San Antonio,2,1,3021,1986,404526.92
Charlotte,6,4,2342,1983,551998.42
Austin,5,4,3928,2002,1278928.38
